日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,涨跌幅(%),成交量(手),成交额(元)
20260527,5.8,6.09,5.53,5.72,5.77,-0.05,-0.8666,50185215.56,29012705.322
20260528,5.72,5.78,5.51,5.68,5.72,-0.04,-0.6993,32854868.53,18529038.148
20260529,5.63,5.64,5.11,5.11,5.68,-0.57,-10.0352,36253858.64,19135809.571
20260601,5.12,5.59,5.12,5.36,5.11,0.25,4.8924,33868875.93,18297384.714
20260602,5.31,5.54,5.11,5.47,5.36,0.11,2.0522,30258455.29,16146951.841
20260603,5.58,5.92,5.53,5.59,5.47,0.12,2.1938,36797583.81,20984987.698
20260604,5.69,6.15,5.69,6.15,5.59,0.56,10.0179,33229988.19,19950265.964
20260605,6.11,6.77,6.01,6.43,6.15,0.28,4.5528,55041155.19,35684789.249
20260608,6.48,6.74,6.22,6.29,6.43,-0.14,-2.1773,45998759.18,29701641.889
20260609,6.49,6.64,6.14,6.52,6.29,0.23,3.6566,40031647.16,25595961.2433
20260610,6.34,6.38,5.94,6.03,6.52,-0.49,-7.5153,32284804.44,19645901.373
20260611,6.0,6.12,5.7,5.83,6.03,-0.2,-3.3167,32996828.55,19435833.0391
20260612,5.95,6.01,5.56,5.57,5.83,-0.26,-4.4597,29146433.93,16741278.0957
20260615,5.74,6.01,5.73,5.92,5.57,0.35,6.2837,29928306.68,17610050.7501
20260616,5.93,6.23,5.86,6.1,5.92,0.18,3.0405,26028372.28,15822472.9364
20260617,6.06,6.71,6.05,6.71,6.1,0.61,10.0,18550205.5,12134264.3421
20260618,6.86,6.93,6.49,6.55,6.65,-0.1,-1.5038,40032426.76,26654280.0345
20260622,6.8,7.18,6.68,6.93,6.55,0.38,5.8015,36729053.39,25427024.792
20260623,6.85,7.07,6.61,6.77,6.93,-0.16,-2.3088,29140578.3,19894656.6078
20260624,6.7,7.15,6.57,7.07,6.77,0.3,4.4313,35877142.21,24997368.6827
20260625,7.33,7.67,7.14,7.52,7.07,0.45,6.3649,36963548.24,27560399.3288
20260626,7.5,8.24,7.36,7.79,7.52,0.27,3.5904,45251768.76,35676682.2144
20260629,7.96,8.21,7.51,7.95,7.79,0.16,2.0539,41524576.45,32489059.9646
20260630,8.15,8.75,8.11,8.68,7.95,0.73,9.1824,51878996.69,44556777.5971
20260701,8.49,8.81,8.31,8.77,8.68,0.09,1.0369,46253149.88,39601267.2643
20260702,8.15,9.5,7.89,9.1,8.77,0.33,3.7628,56618588.99,49342409.554
20260703,8.86,9.09,8.31,8.38,9.1,-0.72,-7.9121,41442066.67,35597368.8054
